Model,Accuracy,Precision,Recall,F1-Score,Macro-F1
EN – DistilBERT,0.9754241319169177,0.9541284403669725,0.9929278642149929,0.9731415699185584,0.9752453429017022
EN – Logistic Regression,0.9615506579990487,0.9519314805104003,0.9628712871287128,0.9573701327239167,0.9611773051894799
EN – BiLSTM,0.9583003012525765,0.9347457627118644,0.9750707213578501,0.9544825199030806,0.9580048643985853
EN – XGBoost,0.9578246392896781,0.9411157024793388,0.9664073550212164,0.9535938590369855,0.9574711521281992
EN – CNN-LSTM,0.9544950055493896,0.9295131845841785,0.9722418670438473,0.9503975112340131,0.9541823525707265
AR – AraBERTv2,0.82495,0.7695562007465782,0.9277,0.8412604851507595,0.8230821790479348
AR – Random Forest,0.809,0.7948473282442748,0.833,0.8134765625,0.8088899205942623
AR – CNN-LSTM,0.78655,0.7740269675815243,0.8094,0.7913183751283178,0.7864384947329661
AR – BiLSTM,0.7876,0.7811888932342589,0.799,0.789994067629029,0.7875723929081824
AR – Logistic Regression,0.7806,0.7795934635312873,0.7824,0.7809942104212418,0.7805992891416969
